,
Weighted Average Price (EUR),Mins
27.18,15
28.93,30
32.32,45
32.67,60
41.34,75
29.76,90
31.99,105
28.56,120
30.92,135
32.69,150
21.97,165
13.65,180
29.59,195
24.77,210
22.51,225
17.78,240
32.71,255
32.38,270
17.22,285
20.19,300
31.82,315
32.19,330
22.41,345
21.27,360
27.38,375
27.63,390
29.45,405
29.55,420
21.60,435
31.72,450
26.52,465
34.74,480
22.67,495
23.61,510
23.49,525
28.42,540
15.46,555
18.55,570
28.59,585
30.14,600
23.62,615
21.79,630
25.86,645
28.50,660
16.30,675
25.99,690
33.24,705
34.13,720
28.39,735
30.59,750
34.50,765
34.46,780
31.60,795
29.28,810
29.19,825
27.98,840
24.65,855
26.13,870
31.20,885
32.82,900
27.87,915
32.76,930
31.47,945
32.85,960
19.14,975
27.33,990
29.43,1005
30.31,1020
41.92,1035
46.06,1050
46.15,1065
42.48,1080
45.99,1095
43.94,1110
28.53,1125
22.06,1140
36.78,1155
20.43,1170
13.20,1185
15.46,1200
39.38,1215
29.79,1230
8.92,1245
2.86,1260
18.58,1275
15.22,1290
8.03,1305
7.54,1320
32.21,1335
27.99,1350
6.92,1365
0.08,1380
33.71,1395
32.31,1410
-6.44,1425
-12.59,1440
31.91,1455
27.10,1470
3.39,1485
-2.64,1500
34.86,1515
9.91,1530
3.76,1545
-8.37,1560
29.28,1575
16.83,1590
-1.33,1605
-6.95,1620
12.54,1635
0.66,1650
-3.90,1665
-8.53,1680
10.70,1695
15.57,1710
24.87,1725
10.50,1740
18.35,1755
27.03,1770
7.55,1785
2.14,1800
-4.62,1815
-6.59,1830
-2.87,1845
17.56,1860
-1.70,1875
3.77,1890
9.76,1905
20.92,1920
6.57,1935
6.25,1950
10.21,1965
15.12,1980
8.69,1995
17.72,2010
22.96,2025
22.57,2040
22.91,2055
28.56,2070
28.83,2085
28.29,2100
26.31,2115
30.88,2130
33.95,2145
30.95,2160
32.71,2175
30.81,2190
31.41,2205
29.58,2220
31.84,2235
33.94,2250
33.16,2265
32.96,2280
36.08,2295
35.64,2310
30.42,2325
32.36,2340
21.45,2355
29.22,2370
33.94,2385
36.19,2400
22.99,2415
30.25,2430
37.25,2445
34.62,2460
35.64,2475
40.02,2490
43.20,2505
42.59,2520
45.02,2535
38.76,2550
31.58,2565
33.31,2580
45.25,2595
47.29,2610
48.55,2625
48.84,2640
39.49,2655
46.76,2670
35.72,2685
33.86,2700
32.57,2715
40.74,2730
50.16,2745
46.21,2760
31.03,2775
30.91,2790
19.59,2805
31.25,2820
40.39,2835
37.89,2850
36.27,2865
20.79,2880
35.83,2895
8.90,2910
7.53,2925
4.57,2940
22.90,2955
17.96,2970
15.65,2985
16.68,3000
20.39,3015
16.50,3030
11.40,3045
9.86,3060
16.97,3075
9.04,3090
7.59,3105
8.95,3120
12.43,3135
13.71,3150
15.12,3165
13.56,3180
10.52,3195
13.84,3210
25.47,3225
32.28,3240
8.62,3255
19.23,3270
22.16,3285
21.82,3300
-0.57,3315
7.92,3330
27.60,3345
26.48,3360
10.88,3375
15.97,3390
23.68,3405
24.33,3420
19.03,3435
21.05,3450
22.50,3465
22.37,3480
21.34,3495
27.68,3510
33.71,3525
35.33,3540
21.69,3555
30.95,3570
31.36,3585
30.41,3600
26.18,3615
25.80,3630
32.54,3645
30.70,3660
29.38,3675
35.80,3690
36.92,3705
28.86,3720
30.59,3735
27.50,3750
33.78,3765
35.70,3780
26.29,3795
26.89,3810
22.91,3825
22.96,3840
27.19,3855
30.23,3870
39.81,3885
33.23,3900
35.44,3915
42.85,3930
46.18,3945
53.04,3960
39.73,3975
31.42,3990
22.54,4005
